¿Qué piloto fue descalificado en 2021 por no tener suficiente combustible para análisis?,Sebastian Vettel (Hungría).
¿Qué piloto fue campeón por medio punto en 1984?,Niki Lauda.
¿Qué carrera fue cancelada en 2020 debido a la pandemia?,Gran Premio de Australia (entre otros).
¿Qué año marcó el regreso de Schumacher a la F1 con Mercedes?,2010.
¿Qué piloto fue apodado El León?,Nigel Mansell.
¿Qué piloto corrió con un casco azul y estrellas blancas por tradición familiar?,Jacques Villeneuve.
¿Qué equipo cambió de nombre a Alpine en 2021?,Renault.
¿Qué equipo usó motores Honda en 2021?,Red Bull Racing.
¿Qué piloto chocó deliberadamente en Mónaco 2006 para bloquear la clasificación?,Michael Schumacher.
¿Qué piloto fue campeón en 2023?,Max Verstappen.
¿Qué penalización se aplica si un piloto excede el límite de velocidad en boxes?,Penalización de tiempo o drive-through.
¿Qué significa una bandera azul en carrera?,Indica a un piloto que debe dejar pasar a uno más rápido que lo va a doblar.
¿Qué significa una bandera amarilla?,Precaución: hay peligro en la pista.
¿Qué significa una doble bandera amarilla?,Precaución extrema: los pilotos deben reducir la velocidad considerablemente.
¿Qué indica la bandera roja?,La sesión está suspendida por razones de seguridad.
¿Qué indica la bandera negra con círculo naranja?,Problema mecánico grave, el coche debe entrar a boxes.
¿Qué significa una bandera blanca?,Coche más lento en pista, generalmente de rescate o de seguridad.
¿Qué significa una bandera verde?,Pista libre, se reanuda la velocidad de carrera.
¿Qué indica la bandera blanca y negra?,Advertencia por comportamiento antideportivo.
¿Qué significa la bandera a cuadros?,Fin de la sesión o de la carrera.
¿Qué es la telemetría en Fórmula 1?,Sistema que transmite datos del coche al equipo en tiempo real.
¿Qué es el torque (par motor)?,Fuerza que produce el giro del motor.
¿Qué es la carga aerodinámica?,Fuerza que empuja el coche hacia el suelo para mejorar el agarre.
¿Qué es el setup de un coche?,La configuración de los componentes del auto para adaptarlo al circuito.
¿Qué es el modo quali?,Configuración del motor con máxima potencia para clasificación.
¿Qué es una unidad de potencia en F1 moderna?,Conjunto que incluye motor térmico, MGU-K, MGU-H, batería y turbo.
¿Qué es el ERS?,Sistema de recuperación de energía cinética y térmica.
¿Qué es la MGU-K?,Unidad que recupera energía cinética de las frenadas.
¿Qué es la MGU-H?,Unidad que recupera energía del calor del turbo.
¿Qué es el parque cerrado?,Condición en la que los coches no pueden modificarse después de la clasificación.
¿Qué equipo corrió con motores Renault y ganó cuatro campeonatos entre 2010 y 2013?,Red Bull Racing.
¿Qué equipo británico usó motores Honda en los 80 y 90 con éxito?,McLaren.
¿Qué equipo fundó Frank Williams?,Williams Racing.
¿Qué equipo italiano, además de Ferrari, corrió en los 90 con patrocinio de Parmalat?,Brabham.
¿Qué equipo debutó en 2021 como Aston Martin F1 Team?,Racing Point (anteriormente Force India).
¿Qué escudería fue comprada por Mercedes en 2009?,Brawn GP.
¿Qué escudería desapareció en 2016 tras años en la F1 con bajo presupuesto?,Manor/Marussia.
¿Qué escudería utilizaba el nombre Lotus a comienzos de los 2010s?,El antiguo equipo Renault rebrandeado.
¿Qué equipo corrió con colores naranja y azul bajo el nombre Arrows?,Arrows Grand Prix International.
¿Qué equipo de F1 tenía vínculos con la empresa Minardi?,Toro Rosso (ahora RB F1 Team).
¿Qué carrera se recuerda por el choque entre Senna y Prost en la primera curva?,GP de Japón 1990.
¿Qué carrera ganó Gasly con AlphaTauri en 2020?,GP de Italia en Monza.
¿Qué piloto ganó su primera carrera en el GP de Canadá 2007?,Lewis Hamilton.
¿Qué piloto ganó su primer GP con Ferrari en 2019?,Charles Leclerc (Spa-Francorchamps).
¿Qué piloto se convirtió en el más joven en ganar un GP en 2016?,Max Verstappen (España, 18 años).
¿En qué carrera hubo una colisión múltiple causada por Grosjean en la salida?,GP de Bélgica 2012.
¿Qué carrera de 2020 se disputó por primera vez en décadas en Nürburgring?,GP de Eifel.
¿Qué piloto ganó el GP de Brasil 2008 en la última curva del campeonato?,Lewis Hamilton.
¿Qué carrera vio el podio más insólito con Ocon, Vettel y Hamilton?,GP de Hungría 2021.
¿Qué carrera fue la última de Kimi Räikkönen en F1?,GP de Abu Dabi 2021.
¿Qué piloto dijo la frase Leave me alone, I know what I’m doing?,Kimi Räikkönen.
¿Qué piloto es famoso por su grito YES BABY! tras ganar su primera carrera?,Daniel Ricciardo.
¿Qué piloto tiene una línea de ropa llamada +44?,Lewis Hamilton.
¿Qué equipo corrió en 2006 con una decoración sin patrocinadores como protesta ecológica?,Honda (Earth Dreams).
